"Action,Id,ShopName,ShopNameDisplay,ShopStatus,ShopType,SPLC,SCAC,Address1,Address2,City,State,Zip,IsAITXShop,CertifcationClass,CertificationDate,CertificateExpiration,Comment,CurrencyCode,DeliveryLines,DisplayOnCustomerMap,DisplayOnWebPortal,Email,EnvironmentalReview,Fax,LaborRate,Latitude,Longitude,LogoURL,Phone,SAP,Website,EnterDate,EnterUserId,LastEditDate,LastEditUserId,Last Verified,,,,"
",2282,First Response Rail Service,First Response Rail Service (Port Jefferson),Active,Repair: Mini Mobile,191600000,C404,646 Main St,,Port Jefferson,NY,11777,No,,,,Added from Insight,,,No,No,,No,,,,,,,1009167,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",2140,Florida East Coast Railway,Florida East Coast Railway (Jacksonville),Active,Repair,,,7150 Philips Highway,,Jacksonville,FL,32256,No,,,,,,,No,No,shelly.barden@fecrwy.com,No,,,,,,,0,,2020-08-31 12:16:16,4622,2020-08-31 12:16:16,4622,2025-03-03,,,,"
"Check,827,Formosa Plastics Corp,Formosa Plastics Corp (Livingston),Review,Repair,,,9 Peach Tree Hill Rd.,,Livingston,NJ,7039,No,,,,,,,No,No,,No,,,,,,(361) 987-7633,0,,2010-01-14 14:50:41,273,2010-01-14 14:50:41,273,2025-03-03,,,,"
",2008,Freedom Railcar Solutions,Freedom Railcar Solutions (Mustang),Active,Repair: Mini Mobile,,,PO Box 358,,Mustang,OK,73064,No,,,,,,,No,No,mobilerepairND2@freedomrailcarsolutions.com; mobilerepairia@thefreedomrailgroup.com,No,,,,,,(815) 575-0311,1005760,,2015-01-21 11:54:15,273,2020-07-01 10:14:20,1,2025-03-03,,,,"
"Check,989,Freightcar Rail Services,FreightCar Rail Services (Hastings),Review,Repair,,,,,Hastings,NE,nan,No,,,,,,,No,No,MNollette@freightcar.net,No,,,,,,,0,,2014-01-22 13:51:17,49,2014-01-22 14:01:49,49,2025-03-03,,,,"
",147,""Frit Car And Equipment, Inc."",""Frit Car and Equipment, Inc. (Brewton)"",Active,Repair,478927000,,P.O. Box 1390,1965 South Blvd.,Brewton,AL,36426,No,,,,Delivering line CSXT,,CSXT,Yes,Yes,ahunter@fritcar.com; gsingleton@fritcar.com; tgodwin@fritcar.com; jbooker@fritcar.com,Yes,(251) 867-4856,,31.083605,-87.097209,,(251) 867-7752,1005764,www.fritcar.com,2007-04-01 00:00:00,1,2022-09-26 16:03:03,1156,2025-03-03,,,,"
",149,""Frit Car And Equipment, Inc."",""Frit Car and Equipment, Inc. (Bridgeton)"",Active,Repair,405554000,,P.O. Box 569,2012 US Highway 17 N.,Bridgeton,NC,28519,No,,,,Delivering line NS,,NS,Yes,Yes,tgodwin@fritcar.com; aedge@fritcarnc.com; gcoley@fritcarnc.com; pshanley@fritcarnc.com,Yes,(252) 638-5125,,35.157443,-77.033493,,(252) 638-2675,1005764,www.fritcar.com,2007-04-01 00:00:00,1,2024-09-06 15:01:40,273,2025-03-03,,,,"
",779,Frontline Railcar Repair,Frontline (Unity),Active,Repair,77226000,,1 Mile East HWY 14 Unity,,Unity,SK,S0K 4L0,No,,,,""Shop Location-1 Mile East HWY 14 Unity, Saskatchewan S0K 4L0  For shipping instructions use consignee- Frontline Railcar Repair and care of party: North West Terminal   C/O North West Terminal- CP rail & CN rail Direct routing  Frontline CIF #- 240007950  North West Terminal CIF #- 248220860  UNITY, SASKATCHEWAN-SPLC #- 077226000"",,CP or CN,No,No,admin@frontlinerailcar.com; billing@frontlinerailcar.com; vhargraves@frontlinerailcar.com  ,No,,,52.129267,-106.670253,,,1005494,www.frontlinerailcar.com,2009-01-26 13:29:04,49,2024-04-03 11:38:41,5715,2025-03-03,,,,"
",152,Fsi Railcar Service,FSI Railcar Service (Mobile),Active,Repair,479800000,,P.O. Box,,Mobile,AL,36652,No,,,,,,,No,No,,No,(334) 433-3205,,30.7159431,-88.0489702,,(334) 432-0289,0,,2007-04-01 00:00:00,1,2022-07-25 12:26:28,4786,2025-03-03,,,,"
"Check,145,Galco Enviromental,Galco Enviromental (Pasadena),Review,Repair,684775000,,,,Pasadena,TX,nan,No,,,,,,,No,No,,No,,,29.681427,-95.164113,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",2759,Gatx #174 (Basf Plant),GATX #174 (BASF plant) (Freeport),Active,Repair: Mini Mobile,,,BASF,804 TX-332,Freeport,TX,77541,No,,,,Within BASF plant,,,No,No,,No,,,29.0070408,-95.4078842,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",2070,Gatx #178  Pcs,GATX #178  PCS (0),Active,Repair: Mini Mobile,,,,,,0,nan,No,,,,""Mobile at PCS in Aurora, NC"",,,No,No,,No,,,,,,,0,,2017-03-15 08:40:02,49,2017-03-15 08:40:02,49,2025-03-03,,,,"
",801,Gatx #186,GATX #186 (Chicago),Active,Repair: Mini Mobile,,,222 West Adams Street,,Chicago,IL,60606,No,,2009-05-26 00:00:00,,,,,No,No,greg.long@gatx.com,No,,,41.879379,-87.634479,,,1006700,,2009-05-26 15:45:09,273,2020-07-01 10:14:20,1,2025-03-03,,,,"
",118,Gatx,GATX (Red Deer),Review,Repair,82500,,,,Red Deer,AB,nan,No,,,,,,,No,No,,No,,,52.27388,-113.814041,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",235,Gatx,GATX (Cinicinnati),Review,Repair,359900000,,,,Cinicinnati,OH,nan,No,,,,,,,No,No,,No,,,39.099233,-84.517486,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",165,Gatx (Mobil Unit),GATX (mobil unit) (Lee Creek),Active,Repair: Mini Mobile,,,on-site at PCS,,Lee Creek,NC,nan,No,,,,,,,No,No,paul.harrison@gatx.com,No,,,,,,,1006700,,2007-04-01 00:00:00,1,2020-07-01 10:14:20,1,2025-03-03,,,,"
",2974,Gatx (Mobil Unit),GATX (mobil unit) (Lee Creek),Active,Repair,,,on-site at PCS,,Lee Creek,NC,nan,No,,,,,,,No,No,paul.harrison@gatx.com,No,,,,,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",164,Gatx (Sherwood Park),GATX (Sherwood Park) (Edmonton),Active,Repair,85618,,131 Seneca Road,,Edmonton,AB,T8A 4,No,,,,,,,No,No,,No,,,53.5403047,-113.3262291,,,0,,2007-04-01 00:00:00,1,2022-07-21 20:23:58,4786,2025-03-03,,,,"
",2283,Gatx Corporation,GATX CORPORATION (CHICAGO),Active,Repair: Mini Mobile,500235000,GATX,3454 SOLUTIONS CENTER,,CHICAGO,IL,nan,No,,,,Added from Insight,,,No,No,,No,,,,,,,1006700,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",755,""Gatx Corporation, #172"",""GATX Corporation, #172 (Plantersville)"",Active,Repair,,,C/O Terry Nale,PO Box 410,Plantersville,TX,77363,No,1,,,936-894-3483 ex11,,,No,No,daniel.streeter@gatx.com; danny.contreras@gatx.com; danielle.cook@gatx.com,No,Ex 11,,30.3391568,-95.8981097,,(936) 894-3483,1006700,,2008-02-01 09:31:12,273,2022-07-25 13:02:09,4786,2025-03-03,,,,"
",2475,Gatx De Mexico Mobile Repair,GATX de Mexico Mobile Repair (Chicago),Active,Repair: Mini Mobile,,,233 S. Wacker Drive,,Chicago,IL,60606,No,,,,,,,No,No,gatxinvoicingGroup@gatx.com; jeremy.wittman@gatx.com,No,,,,,,,1008512,,2024-06-05 08:08:03,5715,2024-06-05 08:08:03,5715,2025-03-03,,,,"
",159,Gatx Fast Track 192,GATX Fast Track 192 (Macon),Review,Repair,463240000,,,,Macon,GA,nan,No,,,,,,,No,No,,No,,,32.841454,-83.649206,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",162,Gatx Fast Track Shop 194,GATX Fast Track Shop 194 (Kansas City),Active,Repair,566900000,,414 Manchester,,Kansas City,MO,64125,No,,,,,,,No,No,,No,,,39.1053768,-94.4914186,,,0,,2007-04-01 00:00:00,1,2022-07-21 20:23:00,4786,2025-03-03,,,,"
",2139,Gatx Geismar,GATX Geismar (Geismar),Active,Repair: Mini Mobile,,,,,Geismar,LA,nan,No,,,,,,,No,No,,No,,,,,,,1006700,,2020-08-27 13:30:20,3492,2024-02-08 06:27:40,5715,2025-03-03,,,,"
",759,Gatx Rail 191,GATX Rail 191 (Chicago),Active,Repair: Mini Mobile,,,1236 Paysphere Circle,,Chicago,IL,60674,No,,2008-02-29 00:00:00,,,,,No,No,,No,,,41.879535,-87.624333,,(713) 451-0063,1006700,,2008-02-29 13:36:01,273,2020-07-01 10:14:20,1,2025-03-03,,,,"
",86,""Gatx Rail, Canada Mobile Repair"",""GATX Rail, Canada Mobile Repair (Montreal, PQ H1E 1M7)"",Active,Repair: Mini Mobile,,,9300 Maurice Duplessis Blvd.,,""Montreal, PQ H1E 1M7"",,nan,No,,,,,,,No,No,Lussier@gatx.com,No,,,,,,,1008475,,2007-04-01 00:00:00,1,2024-02-08 06:28:44,5715,2025-03-03,,,,"
",958,""Gatx, @ Cf Industries 180"",""GATX, @ CF Industries 180 (Donaldsonville)"",Review,Repair: Mini Mobile,,,,,Donaldsonville,LA,nan,No,,,,This is a GATX mini mobile at CF Industries that only repairs CF Industry cars. ,,,No,No,warner.caillouet@gatx.com,No,225-257-4282,,,,,(225) 257-4281,0,,2013-01-15 14:02:03,1039,2013-07-15 14:05:57,49,2025-03-03,,,,"
",797,Gatx-Yazoo City,GATX-Yazoo City (Yazoo City),Active,Repair: Mini Mobile,,,,,Yazoo City,MS,nan,No,,,,,,,No,No,Fred.Hutchinson@gatx.com,No,,,32.860185,-90.402493,,,1006700,,2009-05-08 13:22:22,273,2020-07-01 10:14:20,1,2025-03-03,,,,"
",169,Ge Capital Railcar Services,GE Capital Railcar Services (**),Review,Repair,738179000,,P.O. Box 457,,,,82935,No,,,,,,,No,No,,No,,,,,,(307) 875-0136,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",301,Ge Capital Railcar Services,GE Capital Railcar Services (**),Review,Repair,47600,,PO Box 3568,,,,nan,No,,,,,,,No,No,,No,(306) 757-2194,,,,,(306) 525-0122,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",858,Ge Rail Services,GE Rail Services (LaPorte),Review,Repair,,,1314B Underwood Rd,,LaPorte,TX,77571,No,,,,,,,No,No,mark.ball@ge.com,No,,,,,,(832) 861-2023,0,,2010-06-14 12:26:13,273,2010-06-14 12:26:13,273,2025-03-03,,,,"
",161,General American Transportation Corp.,General American Transportation Corp. (Sarnia),Review,Repair,47600,,,,Sarnia,ON,nan,No,,,,,,,No,No,,No,,,42.978851,-82.403946,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",172,General American Transportation Corp.,General American Transportation Corp. (Hearne),Review,Repair,682482000,,Austin Hwy 79,,Hearne,TX,77859,No,,,,,,,No,No,,No,(409) 279-5664,,30.873923,-96.59601,,(409) 279-3481,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",176,General American Transportation Corp.,General American Transportation Corp. (Colton),Review,Repair,880286000,,20878 Slover Street,,Colton,CA,92324,No,,,,,,,No,No,,No,(909) 825-7447,,34.056248,-117.32904,,(909) 825-3043,0,,2007-04-01 00:00:00,1,2015-06-04 14:57:36,49,2025-03-03,,,,"
",182,General American Transportation Corp.,General American Transportation Corp. (Waycross),Review,Repair,466430000,,2610 Industrial Blvd.,,Waycross,GA,31501,No,,,,,,,No,No,,No,(912) 287-8198,,31.207988,-82.361057,,(912) 287-8160,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",188,General American Transportation Corp.,General American Transportation Corp. (Chicago),Review,Repair,380000000,,Miscellanous Mobile Units,,Chicago,IL,60661,No,,,,,,,No,No,,No,(636) 940-6030,,,,,(800) 436-6346,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",777,Green Mountain Railroad,Green Mountain Railroad (Burlington),Review,Repair,,,1 Railway Lane,,Burlington,VT,5401,No,,,,,,,No,No,skmiec@vrs.bz,No,,,,,,,0,,2009-01-14 09:03:34,273,2009-01-14 09:03:34,273,2025-03-03,,,,"
",964,Green Mountain Railroad,Green Mountain Railroad (Bellows Falls),Review,Repair,,,54 Depot St,P. O. Box 498,Bellows Falls,VT,5101,No,,,,,,,No,No,abridge@vrs.us.com,No,,,,,,,0,,2013-04-04 11:14:21,49,2016-05-10 15:46:45,49,2025-03-03,,,,"
",839,Greenbrier Rail Services,Greenbrier Rail Services (Omaha),Active,Repair,55320000,,4901 South 28th St.,,Omaha,NE,68107,No,,,,Delivery lines are UP and BNSF. CLEANS ASPHALT  As of May 2024:  Justin.Ring@gbrx.com - Foreman  Office : (877) 295-1693 ext. 301313  Cell : (402) 810-5643  Elissa.Escarcega@gbrx.com – QA  Andres.Guevara@gbrx.com – Inspection   ,,UP or BNSF,No,No,Andres.Guevara@gbrx.com; Elissa.Escarcega@gbrx.com; Justin.Ring@gbrx.com,No,UP or BNSF,,41.2096284,-95.952521,,(877) 295-1693,1007460,www.gbrx.com,2010-03-23 16:29:03,273,2024-11-27 09:16:12,5735,2025-03-03,,,,"
",316,Greenbrier Repair & Services,Greenbrier Repair & Services (Finley),Active,Repair,848168000,,228919 E Cochran Road,,Finley,WA,99337,No,,,,""UP Delivery--dispo to Hedges, WA---not Finley    propane only if empty & clean    BNSF also delivers"",,""BNSF, UPRR"",No,No,Robert.geary@gbrx.com; justen.kinnison@gbrx.com,Yes,(509) 585-0501,,46.1587337,-119.0244677,,(866) 858-3967,1007460,www.gbrx.com,2007-04-01 00:00:00,1,2024-11-12 13:50:18,3534,2025-03-03,,,,"
",375,Greenbrier Repair & Services,Greenbrier Repair & Services (Cleburne),Active,Repair,668550000,,101 Park Street,,Cleburne,TX,76031,No,,,,,,BNSF,No,No,Robert.geary@gbrx.com; justen.kinnison@gbrx.com; bruce.brinegar@gbrx.com;derek.hightower@gbrx.com;Sue.Akins@gbrx.com,No,,,32.3565175,-97.3804329,,(817) 556-6752,1005748,www.gbrx.com,2007-04-01 00:00:00,1,2025-02-20 12:13:40,3492,2025-03-03,,,,"
",537,Greenbrier Repair & Services,Greenbrier Repair & Services (Dothan),Active,Repair,477830000,,459 Boxcar Lane,,Dothan,AL,36301,No,,,,,,BAYL,No,No,Melanie.Miles@gbrx.com; Mark.Harris@gbrx.com; Allen.Wilson@gbrx.com; Rigoberto.Olea@gbrx.com; CarlosE.Gonzalez@gbrx.com; Robert.geary@gbrx.com; justen.kinnison@gbrx.com,No,,,31.1877805,-85.4367878,,(877) 459-5445,1005748,www.gbrx.com,2007-04-01 00:00:00,1,2024-02-22 14:52:29,1156,2025-03-03,,,,"
",847,Greenbrier Repair & Services,Greenbrier Repair & Services (Chehalis),Active,Repair,,,139 Habein Road,,Chehalis,WA,98532,No,,,,,,BNSF,No,No,Robert.geary@gbrx.com; justen.kinnison@gbrx.com,No,,,46.6359361,-122.9368598,,(877) 459-5441,1005748,www.gbrx.com,2010-03-31 11:32:21,273,2024-02-22 14:50:55,1156,2025-03-03,,,,"
",3100,Greenbrier Repair-Central,Greenbrier Repair-Central (Marmaduke),Active,Repair,600510 000,,7755 Hwy 34 East,,Marmaduke,AR,72443,No,,,,""UP    Pulls on Tuesday & Thursday, shop closed on Fridays"",,UP,No,No,cole.nelson@gbrx.com; kristy.hale@gbrx.com; scott.wheeler@gbrx.com; nicole.mckinstry@gbrx.com; sara.griffin@gbrx.com,No,,,,,,,1006753,,2024-09-20 00:00:00,1,2024-10-14 14:10:34,11,2025-03-03,,,,"
",2119,Gscx General Service Cleaning Llc,GSCX General Service Cleaning LLC (Waycross),Active,Repair: Mini Mobile,,,,,Waycross,GA,nan,No,,,,Access to SMW Storage,,,No,No,customerservice@gscxrail.com,No,,,,,,(912) 387-1830,1006058,,2020-04-28 15:22:34,3509,2020-07-01 10:14:20,1,2025-03-03,,,,"
",988,Gulf South Railcar,Gulf South Railcar (0),Review,Repair: Mini Mobile,,,,,,0,nan,No,,,,,,,No,No,rmac@gulfsouthrailcars.com,No,,,,,,(850) 699-8585,0,,2014-01-16 11:30:04,49,2014-01-16 11:30:04,49,2025-03-03,,,,"
",749,""H.C. Chandler And Son, Inc."",""H.C. Chandler and Son, Inc. (Plantersville)"",Active,Repair,,,PO Box 239,13564 Highway 105 E,Plantersville,TX,77363,No,,2007-10-12 00:00:00,,Delivering line UP,,UP,Yes,No,mmerdian@hcchandler.com; astephens@hcchandler.com; mmerdian@hcchandler.com; lhenneke@hcchandler.com; jholm@hcchandler.com,Yes,936-894-1921,,30.3369702,-95.8920616,,(936) 894-2863,1010409,www.hcchandler.com,2007-10-12 10:27:14,273,2024-11-19 16:28:58,273,2025-03-03,,,,"
",2057,Harbor Rail Services Co.,Harbor Rail Services Co. (Clinton),Review,Repair,369985000,,85 East 4th Street,,Clinton,IN,47842,No,,,,CSX    Hoppers only,,,No,No,vknapton@harborservices.com; dlund@harborservices.com,No,,,,,,(765) 832-5210,0,,2016-10-17 11:17:20,1156,2016-10-17 13:17:59,1156,2025-03-03,,,,"
",762,Harbor Rail Services Of California,Harbor Rail Services of California (),Review,Repair,,,,,,,nan,No,,,,,,,No,No,,No,,,,,,,0,,2008-04-18 16:26:18,49,2008-04-18 16:26:18,49,2025-03-03,,,,"
"Check,194,Herbert Enviromental,Herbert Enviromental (Denver),Review,Repair,744300000,,,,Denver,CO,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",206,Heritage Railway Service,Heritage Railway Service (Bakersfield),Review,Repair,881550000,,P.O. Box FF,,Bakersfield,CA,93268,No,,,,,,,No,No,,No,(661) 837-9166,,35.373405,-119.018911,,(661) 763-4265,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",782,Herzog Railroad Services,Herzog Railroad Services (St. Joseph),Active,Repair,,,,,St. Joseph,MO,nan,No,,,,,,,No,No,mgreen@hrsi.com,No,,,39.776826,-94.824897,,,0,,2009-02-03 14:14:42,49,2020-01-03 12:31:09,3492,2025-03-03,,,,"
",748,""Herzog Railroad Services, Inc."",""Herzog Railroad Services, Inc. (Falls City)"",Review,Repair,557250000,,300 S. Fulton Street,,Falls City,NE,nan,No,,2007-10-11 00:00:00,,,,,No,No,jkreifels@hrsi.com ,No,,,40.065675,-95.601748,,(402) 245-3663,0,,2007-10-11 13:53:52,273,2011-03-08 11:21:11,23,2025-03-03,,,,"
",945,Hill Railcar,Hill Railcar (New Castle),Active,Repair,,,201 Power Street,,New Castle,PA,16102,No,,,,,,,No,No,mhill@stucki.com,No,,,,,,(724) 654-8257,0,,2012-02-29 15:49:30,49,2014-06-24 08:33:48,49,2025-03-03,,,,"
",2018,Holland/M-Bar-D,Holland/M-Bar-D (Chicago),Active,Repair: Mini Mobile,,,131 S. Dearborn,6th Floor,Chicago,IL,60603,No,,,,,,,No,No,jwesley@hollandco.com,No,,,,,,(708) 672-2314,1009148,,2015-10-06 10:49:54,49,2015-10-06 10:49:54,49,2025-03-03,,,,"
"Delete,931,Hoosier Railcar,Hoosier Railcar (East Chicago),Active,Repair,363510,,3915 Kennedy Ave,,East Chicago,IN,46312,No,,,,Not found in SAP Vendor,,IHB,No,No,Daniel.Ruiz@cfrailservices.com; Fabiola.Castellanos@cfrailservices.com; Erick.Spicher@cfrailservices.com; Jensen.Jones@cfrailservices.com,No,219-397-6379,,41.6416778,-87.4613722,,(219) 397-0057,0,www.cfrailservices.com,2011-09-02 14:06:14,49,2020-07-01 10:14:20,1,2025-03-03,,,,"
"Delete,534,Houston Tank Unknown,Houston Tank Unknown (**),Review,Repair,,,,,,,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",948,Hudson Terminal Railroad,Hudson Terminal Railroad (Hudson),Review,Repair: Mini Mobile,,,,,Hudson,CO,nan,No,AAR F,,,Can perform most repairs that do not include welding directly to the tank shell.  Can work on Hopper,,,No,No,kjhuber@hudsonterminalrailroad.com; laurabirmingham@hudsonterminalrailroad.com,No,,,,,,(303) 536-4418,0,,2012-06-05 10:40:23,1039,2013-06-25 10:42:06,1039,2025-03-03,,,,"
",198,""Hulcher Services, Inc."",""Hulcher Services, Inc. (Toledo)"",Review,Repair,343100000,,,,Toledo,OH,nan,No,,,,,,,No,No,,No,,,,,,,1006710,,2007-04-01 00:00:00,1,2021-07-14 14:45:41,3492,2025-03-03,,,,"
",2037,Idaho Rail Shop,Idaho Rail Shop (Pocatello),Active,Repair,835620000,,1785 Kraft Rd.,PO Box 5639,Pocatello,ID,83202,No,,,,,,UP,No,No,jeff@idahorailshop.com; kim@idahorailshop.com,No,(208) 234-2509,,42.8904623,-112.4828265,,(208) 234-2535,1005860,,2016-06-06 13:55:00,1156,2022-07-25 13:46:35,4786,2025-03-03,,,,"
",2907,Illini Rail Solutions,Illini Rail Solutions (Ottawa),Active,Repair: Mini Mobile,,,PO BOX 2113,,Ottawa,IL,61350,No,,,,,,,No,No,bbartman@illinirailsolutions.com; ,No,,,,,,(815) 252-3619,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",756,Indy Railway Services,Indy Railway Services (Indianapolis),Review,Repair,,,PO Box 42331,,Indianapolis,IN,46242,No,,2008-02-18 00:00:00,,,,,No,No,larry_geyer@sbcgobal.net,No,317-856-3775,,,,,(317) 856-3708,0,,2008-02-18 11:56:17,273,2008-04-10 08:42:45,49,2025-03-03,,,,"
",20,Integrated Railway,Integrated Railway (Angelton),Review,Repair,686250000,,1024 S. Front Street,,Angelton,TX,77515,No,,,,,,,No,No,,No,(409) 848-0164,,29.169534,-95.432068,,(409) 848-0906,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",168,Integrated Railway,Integrated Railway (Omaha),Review,Repair,553200000,,""13810 """"L"""" Street"",,Omaha,NE,68137,No,,,,,,,No,No,,No,(402) 895-2588,,41.259751,-95.942363,,(402) 895-0719,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
"Check,217,Inter-Rail,Inter-rail (Cape Girardeau),Review,Repair,574170000,,,,Cape Girardeau,MO,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",2757,Interstate Commodities,Interstate Commodities (Troy),Active,Repair: Mini Mobile,,,PO Box 607,,Troy,NY,12181,No,,,,MRU.  Will need One Time Approval to use on any car repairs.,,,No,No,noreply@railcarmgt.com;  dharris@icigrain.com,No,,,,,,,0,,2024-09-20 00:00:00,1,2024-09-20 00:00:00,1,2025-03-03,,,,"
",2473,Iron Horse Rail Services - Mru,Iron Horse Rail Services - MRU (Beaumont),Active,Repair: Mini Mobile,,,PO Box 12746,,Beaumont,TX,77726,No,,,,,,,No,No,customerservice@ihrail.com,No,,,,,,,1009460,,2024-05-23 09:19:48,5715,2024-05-23 09:19:48,5715,2025-03-03,,,,"
",3122,Iron Horse Services,Iron Horse Services (Beaumont),Active,Repair,684441,,11800 US Hwy 90,Rail station = Amelia TX,Beaumont,TX,77713,No,,,,,,UP  BNSF,No,No,customerservice@ihrail.com; smartin@ihrail.com,No,,,30.0688013,-94.2379124,,(409) 748-0811,1009460,www.ihrail.com,2024-09-20 00:00:00,1,2025-02-19 11:02:24,5821,2025-03-03,,,,"
",2284,Kansas City Railcar Service Inc,KANSAS CITY RAILCAR SERVICE INC (Kansas City),Active,Repair,581820000,AHX,1147 South 14th St,,Kansas City,KS,66105,No,,,,Added from Insight,,,No,No,,No,,,,,,,1008455,,2023-01-06 00:00:00,1,2023-01-05 00:00:00,1,2025-03-03,,,,"
",837,Kaw River Railroad,KAW River Railroad (Kansas City),Review,Repair: Mini Mobile,,,PO Box 412063,,Kansas City,MO,63141,No,,,,,,,No,No,,No,,,,,,,0,,2010-03-15 08:55:43,273,2010-03-15 08:55:43,273,2025-03-03,,,,"
"Check,239,Kelly Contruction,Kelly Contruction (Lafayette),Review,Repair,369140000,,,,Lafayette,IN,nan,No,,,,,,,No,No,,No,,,40.404839,-86.863426,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",245,Kentuckiana Railcar,Kentuckiana Railcar (Charleston),Review,Repair,375652000,,,,Charleston,IN,47111,No,,,,,,,No,No,,No,,,,,,(812) 256-2978,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",240,Kimball Railcar,Kimball Railcar (Kimball),Active,Repair,505395000,,211 Willow Creek Road,,Kimball,MN,55382,No,,,,,,CPKC ,No,No,shawnk@kimballrailcar.com; aarono@kimballrailcar.com,No,,,,,,(320) 398-6080,1008727,,2007-04-01 00:00:00,1,2024-09-06 10:08:25,5715,2025-03-03,,,,"
",2054,Kinetic Industry,Kinetic Industry (Milliken),Review,Cleaning,,,1189 Quentine Avenue,,Milliken,CO,80543,No,,,,Mobile Only,,Mobile Only,Yes,No,bill.mercer@kineticindustry.com,No,,,40.319911,-104.868586,,(720) 552-1221,0,www.kineticindustry.com,2016-09-27 14:11:33,272,2016-09-27 14:11:33,272,2025-03-03,,,,"
",242,King Mobile Repairs,King Mobile Repairs (Courtright),Review,Repair: Mini Mobile,49915,,,,Courtright,ON,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2008-12-30 13:44:32,35,2025-03-03,,,,"
",2103,Krs Katahdin Railcar Services,KRS Katahdin Railcar Services  (Bangor),Active,Repair,114845000,,18 B&A Ave,,Milo,ME,4463,No,,,,""CPRS is the only serving carrier at Katahdin.  Rail station: Derby, ME"",,CPRS,No,No,Shelby.weston@krsrail.com; jcampeau@transtarrail.com,No,,,45.2323056,-68.9700556,,(207) 943 4086,1005971,www.krsrail.com,2019-08-05 10:30:41,3492,2024-11-07 11:42:14,5746,2025-03-03,,,,"
",474,Lakeshore Railcar Services,Lakeshore Railcar Services (E Chicago),Active,Repair: Mini Mobile,363510000,,1150 East 145th Street,,E Chicago,IN,46312,No,,,,Lakeshore Railcar Service acquired the operating assets of United Transportation Group on 9/30/16. ,,IHB,No,No,kim.guill@patriotrail.com;james.kornas@patriotrail.com,No,(219) 392-8110,,41.643099,-87.460632,,(219) 392-8100,1005889,,2007-04-01 00:00:00,1,2024-02-08 06:29:14,5715,2025-03-03,,,,"
"Check,267,Lessee,Lessee (**),Review,Repair,,,,,,,nan,No,,,,,,,No,No,,No,,,,,,,0,,2007-04-01 00:00:00,1,2007-04-01 00:00:00,1,2025-03-03,,,,"
",259,Liberty Railway Services,Liberty Railway Services (Pueblo West),Review,Repair,748545000,,,,Pueblo West,CO,81007,No,,,,,,,No,No,lester@lrsx.com,No,,,,,,,0,,2007-04-01 00:00:00,1,2012-12-21 11:47:04,1039,2025-03-03,,,,"
